phrase	glyph	cl100k_phrase	o200k_phrase	saved
at the same time	同	4	4	3
on the other hand	反	4	4	3
as a result	则	3	3	2
step by step	步	3	3	2
in other words	即	3	3	2
in terms of	关	3	3	2
with respect to	对	3	3	2
as well as	及	3	3	2
in order to	为	3	3	2
a lot of	多	3	3	2
keep in mind	记	3	3	2
more or less	约	3	3	2
in this case	此	3	3	2
take into account	量	3	3	2
the difference between	异	3	3	2
for example	例	2	2	1
such as	如	2	2	1
make sure	确	2	2	1
based on	据	2	2	1
according to	按	2	2	1
note that	注	2	2	1
in addition	加	2	2	1
the following	下	2	2	1
in general	总	2	2	1
such that	使	2	2	1
compared to	比	2	2	1
because	因	1	1	0
